Date,Sales
2022-01-01,202
2022-01-02,535
2022-01-03,960
2022-01-04,370
2022-01-05,206
2022-01-06,171
2022-01-07,800
2022-01-08,120
2022-01-09,714
2022-01-10,221
2022-01-11,566
2022-01-12,314
2022-01-13,430
2022-01-14,558
2022-01-15,187
2022-01-16,472
2022-01-17,199
2022-01-18,971
2022-01-19,763
2022-01-20,230
2022-01-21,761
2022-01-22,408
2022-01-23,869
2022-01-24,443
2022-01-25,591
2022-01-26,513
2022-01-27,905
2022-01-28,485
2022-01-29,291
2022-01-30,376
2022-01-31,260
2022-02-01,559
2022-02-02,413
2022-02-03,121
2022-02-04,352
2022-02-05,847
2022-02-06,956
2022-02-07,660
2022-02-08,574
2022-02-09,158
2022-02-10,610
2022-02-11,781
2022-02-12,575
2022-02-13,799
2022-02-14,882
2022-02-15,289
2022-02-16,786
2022-02-17,662
2022-02-18,975
2022-02-19,666
2022-02-20,343
2022-02-21,931
2022-02-22,604
2022-02-23,230
2022-02-24,584
2022-02-25,918
2022-02-26,746
2022-02-27,120
2022-02-28,940
2022-03-01,266
2022-03-02,373
2022-03-03,487
2022-03-04,700
2022-03-05,415
2022-03-06,113
2022-03-07,341
2022-03-08,876
2022-03-09,445
2022-03-10,664
2022-03-11,997
2022-03-12,439
2022-03-13,191
2022-03-14,466
2022-03-15,554
2022-03-16,527
2022-03-17,608
2022-03-18,875
2022-03-19,134
2022-03-20,305
2022-03-21,180
2022-03-22,661
2022-03-23,971
2022-03-24,487
2022-03-25,101
2022-03-26,489
2022-03-27,665
2022-03-28,205
2022-03-29,871
2022-03-30,921
2022-03-31,576
2022-04-01,802
2022-04-02,501
2022-04-03,829
2022-04-04,655
2022-04-05,261
2022-04-06,301
2022-04-07,369
2022-04-08,962
2022-04-09,915
2022-04-10,370
2022-04-11,555
2022-04-12,561
2022-04-13,826
2022-04-14,351
2022-04-15,801
2022-04-16,395
2022-04-17,824
2022-04-18,819
2022-04-19,848
2022-04-20,437
2022-04-21,978
2022-04-22,152
2022-04-23,891
2022-04-24,316
2022-04-25,863
2022-04-26,287
2022-04-27,479
2022-04-28,592
2022-04-29,140
2022-04-30,256
2022-05-01,114
2022-05-02,912
2022-05-03,164
2022-05-04,956
2022-05-05,938
2022-05-06,620
2022-05-07,443
2022-05-08,228
2022-05-09,747
2022-05-10,571
2022-05-11,162
2022-05-12,238
2022-05-13,598
2022-05-14,692
2022-05-15,491
2022-05-16,774
2022-05-17,518
2022-05-18,388
2022-05-19,478
2022-05-20,872
2022-05-21,589
2022-05-22,330
2022-05-23,140
2022-05-24,127
2022-05-25,234
2022-05-26,300
2022-05-27,939
2022-05-28,879
2022-05-29,132
2022-05-30,147
2022-05-31,602
2022-06-01,506
2022-06-02,673
2022-06-03,827
2022-06-04,904
2022-06-05,198
2022-06-06,783
2022-06-07,971
2022-06-08,825
2022-06-09,646
2022-06-10,838
2022-06-11,712
2022-06-12,561
2022-06-13,742
2022-06-14,868
2022-06-15,104
2022-06-16,317
2022-06-17,602
2022-06-18,866
2022-06-19,497
2022-06-20,970
2022-06-21,894
2022-06-22,492
2022-06-23,306
2022-06-24,114
2022-06-25,957
2022-06-26,653
2022-06-27,991
2022-06-28,560
2022-06-29,790
2022-06-30,674
2022-07-01,963
2022-07-02,842
2022-07-03,340
2022-07-04,663
2022-07-05,195
2022-07-06,999
2022-07-07,833
2022-07-08,584
2022-07-09,506
2022-07-10,330
2022-07-11,848
2022-07-12,754
2022-07-13,270
2022-07-14,640
2022-07-15,135
2022-07-16,624
2022-07-17,259
2022-07-18,938
2022-07-19,798
2022-07-20,342
2022-07-21,185
2022-07-22,895
2022-07-23,677
2022-07-24,781
2022-07-25,656
2022-07-26,673
2022-07-27,745
2022-07-28,895
2022-07-29,127
2022-07-30,719
2022-07-31,655
2022-08-01,439
2022-08-02,897
2022-08-03,430
2022-08-04,739
2022-08-05,605
2022-08-06,447
2022-08-07,572
2022-08-08,330
2022-08-09,289
2022-08-10,324
2022-08-11,484
2022-08-12,476
2022-08-13,382
2022-08-14,732
2022-08-15,727
2022-08-16,844
2022-08-17,358
2022-08-18,458
2022-08-19,809
2022-08-20,555
2022-08-21,510
2022-08-22,748
2022-08-23,417
2022-08-24,776
2022-08-25,324
2022-08-26,918
2022-08-27,333
2022-08-28,783
2022-08-29,763
2022-08-30,926
2022-08-31,473
2022-09-01,771
2022-09-02,707
2022-09-03,571
2022-09-04,332
2022-09-05,791
2022-09-06,212
2022-09-07,929
2022-09-08,596
2022-09-09,541
2022-09-10,663
2022-09-11,367
2022-09-12,609
2022-09-13,906
2022-09-14,485
2022-09-15,486
2022-09-16,212
2022-09-17,712
2022-09-18,724
2022-09-19,180
2022-09-20,798
2022-09-21,212
2022-09-22,101
2022-09-23,741
2022-09-24,319
2022-09-25,665
2022-09-26,954
2022-09-27,835
2022-09-28,324
2022-09-29,484
2022-09-30,502
2022-10-01,737
2022-10-02,229
2022-10-03,152
2022-10-04,783
2022-10-05,829
2022-10-06,771
2022-10-07,809
2022-10-08,515
2022-10-09,346
2022-10-10,935
2022-10-11,538
2022-10-12,302
2022-10-13,283
2022-10-14,222
2022-10-15,500
2022-10-16,866
2022-10-17,393
2022-10-18,379
2022-10-19,936
2022-10-20,983
2022-10-21,709
2022-10-22,297
2022-10-23,610
2022-10-24,851
2022-10-25,243
2022-10-26,708
2022-10-27,300
2022-10-28,223
2022-10-29,286
2022-10-30,425
2022-10-31,563
2022-11-01,448
2022-11-02,870
2022-11-03,759
2022-11-04,863
2022-11-05,502
2022-11-06,445
2022-11-07,610
2022-11-08,246
2022-11-09,247
2022-11-10,963
2022-11-11,810
2022-11-12,919
2022-11-13,588
2022-11-14,739
2022-11-15,650
2022-11-16,437
2022-11-17,971
2022-11-18,740
2022-11-19,878
2022-11-20,572
2022-11-21,250
2022-11-22,514
2022-11-23,397
2022-11-24,710
2022-11-25,362
2022-11-26,863
2022-11-27,243
2022-11-28,445
2022-11-29,723
2022-11-30,671
2022-12-01,980
2022-12-02,101
2022-12-03,996
2022-12-04,403
2022-12-05,353
2022-12-06,751
2022-12-07,552
2022-12-08,136
2022-12-09,259
2022-12-10,108
2022-12-11,332
2022-12-12,198
2022-12-13,758
2022-12-14,915
2022-12-15,307
2022-12-16,230
2022-12-17,503
2022-12-18,251
2022-12-19,153
2022-12-20,219
2022-12-21,772
2022-12-22,727
2022-12-23,686
2022-12-24,724
2022-12-25,519
2022-12-26,521
2022-12-27,203
2022-12-28,951
2022-12-29,353
2022-12-30,326
2022-12-31,211
2023-01-01,609
2023-01-02,572
2023-01-03,198
2023-01-04,252
2023-01-05,960
2023-01-06,995
2023-01-07,977
2023-01-08,437
2023-01-09,805
2023-01-10,921
2023-01-11,262
2023-01-12,819
2023-01-13,780
2023-01-14,260
2023-01-15,679
2023-01-16,900
2023-01-17,497
2023-01-18,376
2023-01-19,915
2023-01-20,603
2023-01-21,995
2023-01-22,491
2023-01-23,234
2023-01-24,294
2023-01-25,500
2023-01-26,739
2023-01-27,132
2023-01-28,787
2023-01-29,559
2023-01-30,982
2023-01-31,569
2023-02-01,474
2023-02-02,121
2023-02-03,849
2023-02-04,769
2023-02-05,137
2023-02-06,329
2023-02-07,464
2023-02-08,662
2023-02-09,537
2023-02-10,875
2023-02-11,382
2023-02-12,126
2023-02-13,325
2023-02-14,376
2023-02-15,897
2023-02-16,708
2023-02-17,383
2023-02-18,978
2023-02-19,580
2023-02-20,552
2023-02-21,928
2023-02-22,915
2023-02-23,758
2023-02-24,615
2023-02-25,646
2023-02-26,291
2023-02-27,148
2023-02-28,611
2023-03-01,116
2023-03-02,271
2023-03-03,319
2023-03-04,257
2023-03-05,576
2023-03-06,145
2023-03-07,472
2023-03-08,617
2023-03-09,198
2023-03-10,991
2023-03-11,844
2023-03-12,136
2023-03-13,379
2023-03-14,448
2023-03-15,596
2023-03-16,401
2023-03-17,280
2023-03-18,706
2023-03-19,198
2023-03-20,799
2023-03-21,215
2023-03-22,290
2023-03-23,352
2023-03-24,260
2023-03-25,355
2023-03-26,422
2023-03-27,227
2023-03-28,117
2023-03-29,892
2023-03-30,834
2023-03-31,665
2023-04-01,669
2023-04-02,422
2023-04-03,971
2023-04-04,785
2023-04-05,891
2023-04-06,725
2023-04-07,387
2023-04-08,953
2023-04-09,762
2023-04-10,738
2023-04-11,254
2023-04-12,589
2023-04-13,485
2023-04-14,884
2023-04-15,203
2023-04-16,492
2023-04-17,910
2023-04-18,345
2023-04-19,275
2023-04-20,138
2023-04-21,576
2023-04-22,781
2023-04-23,858
2023-04-24,637
2023-04-25,966
2023-04-26,917
2023-04-27,507
2023-04-28,624
2023-04-29,927
2023-04-30,605
2023-05-01,924
2023-05-02,135
2023-05-03,784
2023-05-04,119
2023-05-05,420
2023-05-06,875
2023-05-07,611
2023-05-08,499
2023-05-09,753
2023-05-10,982
2023-05-11,570
2023-05-12,242
2023-05-13,191
2023-05-14,453
2023-05-15,933
2023-05-16,899
2023-05-17,826
2023-05-18,953
2023-05-19,150
2023-05-20,764
2023-05-21,797
2023-05-22,674
2023-05-23,289
2023-05-24,224
2023-05-25,249
2023-05-26,413
2023-05-27,669
2023-05-28,441
2023-05-29,404
2023-05-30,791
2023-05-31,781
2023-06-01,937
2023-06-02,882
2023-06-03,153
2023-06-04,543
2023-06-05,712
2023-06-06,363
2023-06-07,152
2023-06-08,671
2023-06-09,719
2023-06-10,104
2023-06-11,202
2023-06-12,295
2023-06-13,873
2023-06-14,976
2023-06-15,983
2023-06-16,449
2023-06-17,146
2023-06-18,966
2023-06-19,922
2023-06-20,919
2023-06-21,755
2023-06-22,368
2023-06-23,469
2023-06-24,735
2023-06-25,205
2023-06-26,769
2023-06-27,758
2023-06-28,756
2023-06-29,219
2023-06-30,930
2023-07-01,886
2023-07-02,703
2023-07-03,157
2023-07-04,445
2023-07-05,840
2023-07-06,573
2023-07-07,216
2023-07-08,929
2023-07-09,890
2023-07-10,226
2023-07-11,492
2023-07-12,740
2023-07-13,157
2023-07-14,733
2023-07-15,612
2023-07-16,850
2023-07-17,901
2023-07-18,195
2023-07-19,737
2023-07-20,217
2023-07-21,659
2023-07-22,700
2023-07-23,587
2023-07-24,336
2023-07-25,984
2023-07-26,996
2023-07-27,371
2023-07-28,288
2023-07-29,803
2023-07-30,546
2023-07-31,680
2023-08-01,889
2023-08-02,960
2023-08-03,346
2023-08-04,175
2023-08-05,253
2023-08-06,755
2023-08-07,534
2023-08-08,185
2023-08-09,796
2023-08-10,384
2023-08-11,319
2023-08-12,168
2023-08-13,146
2023-08-14,193
2023-08-15,849
2023-08-16,552
2023-08-17,303
2023-08-18,317
2023-08-19,573
2023-08-20,531
2023-08-21,440
2023-08-22,650
2023-08-23,711
2023-08-24,388
2023-08-25,353
2023-08-26,833
2023-08-27,456
2023-08-28,122
2023-08-29,861
2023-08-30,621
2023-08-31,857
2023-09-01,936
2023-09-02,199
2023-09-03,901
2023-09-04,279
2023-09-05,322
2023-09-06,861
2023-09-07,758
2023-09-08,541
2023-09-09,707
2023-09-10,868
2023-09-11,424
2023-09-12,615
2023-09-13,115
2023-09-14,891
2023-09-15,435
2023-09-16,858
2023-09-17,357
2023-09-18,596
2023-09-19,995
2023-09-20,259
2023-09-21,574
2023-09-22,951
2023-09-23,763
2023-09-24,789
2023-09-25,774
2023-09-26,479
2023-09-27,644
2023-09-28,790
2023-09-29,526
2023-09-30,712
2023-10-01,367
2023-10-02,934
2023-10-03,676
2023-10-04,516
2023-10-05,267
2023-10-06,941
2023-10-07,142
2023-10-08,655
2023-10-09,384
2023-10-10,496
2023-10-11,111
2023-10-12,706
2023-10-13,401
2023-10-14,997
2023-10-15,352
2023-10-16,598
2023-10-17,853
2023-10-18,134
2023-10-19,826
2023-10-20,948
2023-10-21,189
2023-10-22,875
2023-10-23,704
2023-10-24,701
2023-10-25,517
2023-10-26,214
2023-10-27,716
2023-10-28,295
2023-10-29,925
2023-10-30,600
2023-10-31,725
2023-11-01,592
2023-11-02,174
2023-11-03,512
2023-11-04,475
2023-11-05,519
2023-11-06,828
2023-11-07,376
2023-11-08,860
2023-11-09,775
2023-11-10,493
2023-11-11,968
2023-11-12,556
2023-11-13,291
2023-11-14,838
2023-11-15,788
2023-11-16,198
2023-11-17,647
2023-11-18,195
2023-11-19,763
2023-11-20,762
2023-11-21,289
2023-11-22,835
2023-11-23,136
2023-11-24,879
2023-11-25,468
2023-11-26,794
2023-11-27,624
2023-11-28,378
2023-11-29,316
2023-11-30,966
2023-12-01,972
2023-12-02,897
2023-12-03,372
2023-12-04,980
2023-12-05,161
2023-12-06,695
2023-12-07,979
2023-12-08,828
2023-12-09,441
2023-12-10,496
2023-12-11,798
2023-12-12,118
2023-12-13,276
2023-12-14,711
2023-12-15,495
2023-12-16,544
2023-12-17,332
2023-12-18,175
2023-12-19,364
2023-12-20,554
2023-12-21,895
2023-12-22,817
2023-12-23,834
2023-12-24,483
2023-12-25,663
2023-12-26,950
2023-12-27,605
2023-12-28,466
2023-12-29,243
2023-12-30,984
2023-12-31,168
